location,date,Confirmed,Events
Singapore,Jan-20,13,Start of Alpha Variant
Singapore,Feb-20,102,
Singapore,Mar-20,926,
Singapore,Apr-20,16169,Start of Lockdown
Singapore,May-20,34884,
Singapore,Jun-20,43907,End of Lockdown
Singapore,Jul-20,52205,
Singapore,Aug-20,56812,
Singapore,Sep-20,57765,
Singapore,Oct-20,58015,Start of Delta Variant
Singapore,Nov-20,58218,
Singapore,Dec-20,58599,
Singapore,Jan-21,59536,
Singapore,Feb-21,59936,
Singapore,Mar-21,60381,
Singapore,Apr-21,61145,
Singapore,May-21,62051,
Singapore,Jun-21,62579,
Singapore,Jul-21,64981,
Singapore,Aug-21,67620,
Singapore,Sep-21,96521,Start of VTL
Singapore,Oct-21,198374,
Singapore,Nov-21,264725,
Singapore,Dec-21,279405,
Singapore,Jan-22,352811,
Singapore,Feb-22,724424,
Singapore,Mar-22,1096428,
Singapore,Apr-22,1193250,Border Open
Singapore,May-22,1293369,Start of Omicron
